 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      4    0.127008      3    0.184571    0
      3    0.186199      4    0.170301    0
      3    0.184879      4    0.256127    0
      4    0.175947      3    0.208073    0
      3    0.0525321      4    0.187663    0
      3    0.167434      3    0.122456    0
      3    0.132646      3    0.0690491    3
      3    0.1878      3    0.200929    0
      2    0.0256564      2    0.0256564    2
      2    0.0106372      2    0.0106372    2
      2    0.0668443      2    0.0668443    2
      3    0.129567      3    0.182687    0
      2    0.0827053      2    0.0827053    2
      3    0.0697081      2    0.168542    0
      3    0.1859      3    0.173843    0
      3    0.11451      3    0.165922    3
      3    0.0676541      3    0.114673    3
      4    0.162431      3    0.181843    0
      3    0.106336      3    0.0827289    3
